"BookingID","fname","Email","PhoneNumber","Venue","StartDate","EndDate","Status"
0001,Harshit,asdcsfs,avgc,asccg,2022-11-08,2022-11-09,booked
3,Harshit,harshit.c21@iiits.in,9192939495,Ruby Room,2022-11-25,2022-11-26,Booked
5,Harshit,harshit.c21@iiits.in,9192939495,The Hall,2022-11-25,2022-11-29,Booked
7,Harshit,harshit.c21@iiits.in,9192939495,Emerald Greens,2022-11-25,2022-11-26,Booked
9,Harshit,harshit.c21@iiits.in,9192939495,Outdoor Stadium,2022-12-31,2023-01-01,Booked
11,Harshit,harshit.c21@iiits.in,9192939495,Ruby Room,2022-11-28,2022-11-29,Booked
13,Harshit,harshit.c21@iiits.in,9192939495,The Hall,2022-12-13,2022-12-14,Booked
15,Harshit,harshit.c21@iiits.in,9192939495,Large Ruby Room,2022-11-25,2022-11-30,Booked
16,Divyanshu,divyanshu.j21@iiits.in,8182838485,Golden Hall,2022-11-10,2022-11-11,Booked
17,Divyanshu,divyanshu.j21@iiits.in,8182838485,Auditorium,2022-11-16,2022-11-17,Booked
